1612180800000,34183.33000000,34460.00000000,34178.09000000,34307.26000000,1691.94732600,1612181699999,58015618.05916655,28944,852.00832600,29216122.63347008,0
1612181700000,34307.12000000,34328.43000000,33943.70000000,34032.27000000,1168.50962600,1612182599999,39933007.81326941,19414,554.16621200,18945896.21526248,0
1612182600000,34033.98000000,34118.45000000,33830.00000000,33919.95000000,1209.46375000,1612183499999,41124457.58067227,16445,565.99282300,19240228.08231925,0
1612183500000,33919.95000000,33924.39000000,33590.00000000,33770.23000000,1691.16823800,1612184399999,57094626.66945149,29834,870.08121500,29372078.88074392,0
1612184400000,33770.23000000,34050.00000000,33726.95000000,33983.32000000,965.75344000,1612185299999,32671219.44939263,23351,518.65334000,17549470.94254139,0
1612185300000,33983.32000000,33983.32000000,33775.40000000,33814.03000000,910.61193200,1612186199999,30830300.48958964,23565,469.11156900,15883098.36872419,0
1612186200000,33814.03000000,33970.00000000,33807.48000000,33930.90000000,1653.91863700,1612187099999,56055004.55109721,25315,920.66466900,31199993.67412362,0
1612187100000,33929.80000000,33981.77000000,33655.00000000,33702.25000000,1318.65034700,1612187999999,44586218.90160675,23248,593.11231800,20052580.76882297,0
1612188000000,33702.25000000,33866.38000000,33400.00000000,33435.09000000,2008.78478500,1612188899999,67495959.65102873,29129,821.05625300,27607293.77965289,0
1612188900000,33442.17000000,33734.73000000,33400.00000000,33711.19000000,966.36279000,1612189799999,32426017.74113112,17552,548.54314100,18409693.92595427,0
1612189800000,33711.19000000,33866.49000000,33682.45000000,33720.03000000,690.70899500,1612190699999,23326202.06594245,13303,354.21692100,11965188.84243644,0
1612190700000,33722.27000000,33764.71000000,33517.97000000,33532.81000000,481.64012800,1612191599999,16189788.90508447,10551,232.51205100,7817095.53708901,0
1612191600000,33535.51000000,33629.30000000,33350.00000000,33466.83000000,763.26875100,1612192499999,25548896.53137453,15045,344.25774600,11525725.07709536,0
1612192500000,33466.84000000,33600.61000000,33415.38000000,33541.76000000,457.20720900,1612193399999,15320545.20524921,12131,221.25438300,7414178.29008610,0
1612193400000,33541.76000000,33621.88000000,33507.27000000,33575.54000000,491.94103400,1612194299999,16514804.02364422,12484,201.90685400,6778260.50749766,0
1612194300000,33575.53000000,33638.99000000,33160.00000000,33160.17000000,1008.76960900,1612195199999,33618178.05036066,21251,385.93466900,12866035.62585979,0
1612195200000,33160.00000000,33394.66000000,33133.26000000,33336.43000000,737.99434700,1612196099999,24544265.13801264,15610,373.81369100,12434964.78956998,0
1612196100000,33336.43000000,33432.89000000,33282.21000000,33388.36000000,405.89017800,1612196999999,13544176.87495248,10250,177.61032800,5926563.32284166,0
1612197000000,33388.36000000,33551.73000000,33255.92000000,33496.85000000,587.38638000,1612197899999,19608325.50636439,12514,297.35227200,9930091.09013240,0
1612197900000,33498.55000000,33603.91000000,33430.61000000,33460.83000000,688.60187500,1612198799999,23065207.06836893,11935,284.63136900,9535241.54876481,0
1612198800000,33460.83000000,33557.14000000,33380.00000000,33494.27000000,572.66238600,1612199699999,19153379.26609871,15050,221.33473000,7401978.08851935,0
1612199700000,33494.27000000,33570.00000000,33443.03000000,33563.24000000,482.72549300,1612200599999,16176759.98923404,14721,215.88388400,7234249.08187672,0
1612200600000,33563.24000000,33699.99000000,33558.00000000,33618.66000000,623.16339300,1612201499999,20953753.62667177,16995,268.96938300,9043315.47804890,0
1612201500000,33618.85000000,34100.00000000,33618.85000000,33978.31000000,1360.11741300,1612202399999,46068811.09010817,29537,749.28982200,25383715.21525654,0
1612202400000,33979.94000000,34032.93000000,33826.02000000,33826.80000000,555.11062200,1612203299999,18822255.40863746,15125,230.42834000,7812683.09382472,0
1612203300000,33826.79000000,33891.17000000,33772.31000000,33850.01000000,421.30600100,1612204199999,14250239.06673895,11889,199.07438000,6733445.82859110,0
1612204200000,33850.01000000,33853.08000000,33739.40000000,33800.01000000,416.81203900,1612205099999,14092046.77084196,11817,187.80592200,6349806.90389326,0
1612205100000,33800.01000000,33946.20000000,33655.01000000,33731.52000000,479.40199400,1612205999999,16201889.22300995,14229,225.85718100,7633258.68286291,0
1612206000000,33739.52000000,33965.72000000,33700.30000000,33827.00000000,407.38670800,1612206899999,13785715.26341885,9244,200.32944000,6777743.43770112,0
1612206900000,33828.57000000,33882.02000000,33780.43000000,33853.46000000,374.94396300,1612207799999,12684021.89597880,8305,199.55358400,6750914.17386922,0
1612207800000,33851.94000000,34072.54000000,33845.57000000,33915.38000000,620.99642200,1612208699999,21098787.53951894,12768,353.04316100,11995175.92740029,0
1612208700000,33915.38000000,34022.90000000,33821.98000000,33838.13000000,399.02016000,1612209599999,13535225.17587896,9937,202.49604400,6868752.91676561,0
1612209600000,33838.13000000,34039.00000000,33821.99000000,33944.31000000,447.93986100,1612210499999,15203629.68027050,10075,257.26615700,8730466.62773459,0
1612210500000,33944.31000000,34033.08000000,33880.00000000,33880.21000000,399.00281500,1612211399999,13551491.26567259,8807,219.51071900,7453576.56526975,0
1612211400000,33880.21000000,33908.30000000,33763.28000000,33811.47000000,481.59768200,1612212299999,16296589.13735219,8497,306.94843300,10387221.29314030,0
1612212300000,33811.47000000,33900.00000000,33722.04000000,33831.55000000,390.39087700,1612213199999,13202548.43423107,8888,203.02174600,6867150.47443735,0
1612213200000,33831.54000000,33833.03000000,33689.66000000,33814.19000000,393.58268000,1612214099999,13289702.81735228,9551,210.97375800,7123598.30722363,0
1612214100000,33816.72000000,33848.95000000,33760.32000000,33820.00000000,307.86617600,1612214999999,10408903.47655558,6826,159.43471300,5390528.74868088,0
